bp,name
GO:0009653,anatomical structure morphogenesis
GO:0009657,plastid organization
GO:0009658,chloroplast organization
GO:0009662,etioplast organization
GO:0009664,plant-type cell wall organization
GO:0009668,plastid membrane organization
GO:0009682,induced systemic resistance
GO:0009685,gibberellin metabolic process
GO:0009686,gibberellin biosynthetic process
GO:0009687,abscisic acid metabolic process
GO:0009688,abscisic acid biosynthetic process
GO:0009690,cytokinin metabolic process
GO:0009691,cytokinin biosynthetic process
GO:0009694,jasmonic acid metabolic process
GO:0009695,jasmonic acid biosynthetic process
GO:0009696,salicylic acid metabolic process
GO:0009697,salicylic acid biosynthetic process
GO:0009698,phenylpropanoid metabolic process
GO:0009699,phenylpropanoid biosynthetic process
GO:0009704,de-etiolation
GO:0009718,anthocyanin-containing compound biosynthetic process
GO:0009719,response to endogenous stimulus
GO:0009723,response to ethylene
GO:0009725,response to hormone
GO:0009733,response to auxin
GO:0009734,auxin-activated signaling pathway
GO:0009735,response to cytokinin
GO:0009736,cytokinin-activated signaling pathway
GO:0009737,response to abscisic acid
GO:0009738,abscisic acid-activated signaling pathway
GO:0009739,response to gibberellin
GO:0009740,gibberellic acid mediated signaling pathway
GO:0009741,response to brassinosteroid
GO:0009742,brassinosteroid mediated signaling pathway
GO:0009743,response to carbohydrate
GO:0009744,response to sucrose
GO:0009746,response to hexose
GO:0009749,response to glucose
GO:0009750,response to fructose
GO:0009751,response to salicylic acid
GO:0009753,response to jasmonic acid
GO:0009755,hormone-mediated signaling pathway
GO:0009756,carbohydrate mediated signaling
GO:0009765,"photosynthesis, light harvesting"
GO:0009767,photosynthetic electron transport chain
GO:0009768,"photosynthesis, light harvesting in photosystem I"
GO:0009772,photosynthetic electron transport in photosystem II
GO:0009773,photosynthetic electron transport in photosystem I
GO:0009785,blue light signaling pathway
GO:0009786,regulation of asymmetric cell division
GO:0009787,regulation of abscisic acid-activated signaling pathway
GO:0009788,negative regulation of abscisic acid-activated signaling pathway
GO:0009789,positive regulation of abscisic acid-activated signaling pathway
GO:0009790,embryo development
GO:0009791,post-embryonic development
GO:0009793,embryo development ending in seed dormancy
GO:0009798,axis specification
GO:0009800,cinnamic acid biosynthetic process
GO:0009803,cinnamic acid metabolic process
GO:0009808,lignin metabolic process
GO:0009809,lignin biosynthetic process
GO:0009812,flavonoid metabolic process
GO:0009813,flavonoid biosynthetic process
GO:0009820,alkaloid metabolic process
GO:0009825,multidimensional cell growth
GO:0009826,unidimensional cell growth
GO:0009832,plant-type cell wall biogenesis
GO:0009833,plant-type primary cell wall biogenesis
GO:0009834,plant-type secondary cell wall biogenesis
GO:0009838,abscission
GO:0009845,seed germination
GO:0009846,pollen germination
GO:0009850,auxin metabolic process
GO:0009851,auxin biosynthetic process
GO:0009852,auxin catabolic process
GO:0009853,photorespiration
GO:0009856,pollination
GO:0009860,pollen tube growth
GO:0009862,"systemic acquired resistance, salicylic acid mediated signaling pathway"
GO:0009863,salicylic acid mediated signaling pathway
GO:0009864,"induced systemic resistance, jasmonic acid mediated signaling pathway"
GO:0009865,pollen tube adhesion
GO:0009867,jasmonic acid mediated signaling pathway
GO:0009873,ethylene-activated signaling pathway
GO:0009875,pollen-pistil interaction
GO:0009880,embryonic pattern specification
GO:0009888,tissue development
GO:0009889,regulation of biosynthetic process
GO:0009890,negative regulation of biosynthetic process
GO:0009891,positive regulation of biosynthetic process
GO:0009892,negative regulation of metabolic process
GO:0009893,positive regulation of metabolic process
GO:0009894,regulation of catabolic process
GO:0009895,negative regulation of catabolic process
GO:0009896,positive regulation of catabolic process
GO:0009900,dehiscence
GO:0009901,anther dehiscence
GO:0009902,chloroplast relocation
GO:0009903,chloroplast avoidance movement
GO:0009904,chloroplast accumulation movement
GO:0009908,flower development
GO:0009909,regulation of flower development
GO:0009910,negative regulation of flower development
GO:0009911,positive regulation of flower development
GO:0009914,hormone transport
GO:0009926,auxin polar transport
GO:0009932,cell tip growth
GO:0009933,meristem structural organization
GO:0009934,regulation of meristem structural organization
GO:0009937,regulation of gibberellic acid mediated signaling pathway
GO:0009938,negative regulation of gibberellic acid mediated signaling pathway
GO:0009939,positive regulation of gibberellic acid mediated signaling pathway
GO:0009942,longitudinal axis specification
GO:0009943,adaxial/abaxial axis specification
GO:0009944,polarity specification of adaxial/abaxial axis
GO:0009945,radial axis specification
GO:0009955,adaxial/abaxial pattern specification
GO:0009956,radial pattern formation
GO:0009958,positive gravitropism
GO:0009959,negative gravitropism
GO:0009960,endosperm development
GO:0009965,leaf morphogenesis
GO:0009966,regulation of signal transduction
GO:0009967,positive regulation of signal transduction
GO:0009968,negative regulation of signal transduction
GO:0009969,xyloglucan biosynthetic process
GO:0009970,cellular response to sulfate starvation
GO:0009972,cytidine deamination
GO:0009987,cellular process
GO:0009988,cell-cell recognition
GO:0009991,response to extracellular stimulus
GO:0010014,meristem initiation
GO:0010015,root morphogenesis
GO:0010016,shoot system morphogenesis
GO:0010017,red or far-red light signaling pathway
GO:0010019,chloroplast-nucleus signaling pathway
GO:0010020,chloroplast fission
GO:0010022,meristem determinacy
GO:0010024,phytochromobilin biosynthetic process
GO:0010025,wax biosynthetic process
GO:0010026,trichome differentiation
GO:0010027,thylakoid membrane organization
GO:0010028,xanthophyll cycle
GO:0010029,regulation of seed germination
GO:0010030,positive regulation of seed germination
GO:0010031,circumnutation
GO:0010032,meiotic chromosome condensation
GO:0010033,response to organic substance
GO:0010035,response to inorganic substance
GO:0010036,response to boron-containing substance
GO:0010038,response to metal ion
GO:0010039,response to iron ion
GO:0010043,response to zinc ion
GO:0010044,response to aluminum ion
GO:0010047,fruit dehiscence
GO:0010048,vernalization response
GO:0010050,vegetative phase change
GO:0010051,xylem and phloem pattern formation
GO:0010052,guard cell differentiation
GO:0010053,root epidermal cell differentiation
GO:0010054,trichoblast differentiation
GO:0010065,primary meristem tissue development
GO:0010067,procambium histogenesis
GO:0010073,meristem maintenance
GO:0010074,maintenance of meristem identity
GO:0010075,regulation of meristem growth
GO:0010077,maintenance of inflorescence meristem identity
GO:0010078,maintenance of root meristem identity
GO:0010082,regulation of root meristem growth
GO:0010087,phloem or xylem histogenesis
GO:0010088,phloem development
GO:0010089,xylem development
GO:0010090,trichome morphogenesis
GO:0010091,trichome branching
GO:0010093,specification of floral organ identity
GO:0010098,suspensor development
GO:0010099,regulation of photomorphogenesis
GO:0010100,negative regulation of photomorphogenesis
GO:0010101,post-embryonic root morphogenesis
GO:0010102,lateral root morphogenesis
GO:0010103,stomatal complex morphogenesis
GO:0010104,regulation of ethylene-activated signaling pathway
GO:0010105,negative regulation of ethylene-activated signaling pathway
GO:0010109,regulation of photosynthesis
GO:0010110,"regulation of photosynthesis, dark reaction"
GO:0010112,regulation of systemic acquired resistance
GO:0010114,response to red light
GO:0010115,regulation of abscisic acid biosynthetic process
GO:0010118,stomatal movement
GO:0010119,regulation of stomatal movement
GO:0010121,arginine catabolic process to proline via ornithine
GO:0010124,phenylacetate catabolic process
GO:0010133,proline catabolic process to glutamate
GO:0010138,pyrimidine ribonucleotide salvage
GO:0010142,"farnesyl diphosphate biosynthetic process, mevalonate pathway"
GO:0010143,cutin biosynthetic process
GO:0010150,leaf senescence
GO:0010152,pollen maturation
GO:0010154,fruit development
GO:0010155,regulation of proton transport
GO:0010158,abaxial cell fate specification
GO:0010162,seed dormancy process
GO:0010165,response to X-ray
GO:0010166,wax metabolic process
GO:0010167,response to nitrate
GO:0010182,sugar mediated signaling pathway
GO:0010183,pollen tube guidance
GO:0010185,regulation of cellular defense response
GO:0010186,positive regulation of cellular defense response
GO:0010187,negative regulation of seed germination
GO:0010189,vitamin E biosynthetic process
GO:0010190,cytochrome b6f complex assembly
GO:0010191,mucilage metabolic process
GO:0010192,mucilage biosynthetic process
GO:0010193,response to ozone
GO:0010197,polar nucleus fusion
GO:0010200,response to chitin
GO:0010206,photosystem II repair
GO:0010207,photosystem II assembly
GO:0010208,pollen wall assembly
GO:0010212,response to ionizing radiation
GO:0010214,seed coat development
GO:0010215,cellulose microfibril organization
GO:0010216,maintenance of DNA methylation
GO:0010218,response to far red light
GO:0010219,regulation of vernalization response
GO:0010220,positive regulation of vernalization response
GO:0010222,stem vascular tissue pattern formation
GO:0010223,secondary shoot formation
GO:0010224,response to UV-B
GO:0010227,floral organ abscission
GO:0010228,vegetative to reproductive phase transition of meristem
GO:0010230,alternative respiration
GO:0010231,maintenance of seed dormancy
GO:0010236,plastoquinone biosynthetic process
GO:0010239,chloroplast mRNA processing
GO:0010241,ent-kaurene oxidation to kaurenoic acid
GO:0010243,response to organonitrogen compound
GO:0010249,auxin conjugate metabolic process
GO:0010252,auxin homeostasis
GO:0010253,UDP-rhamnose biosynthetic process
GO:0010254,nectary development
GO:0010256,endomembrane system organization
GO:0010257,NADH dehydrogenase complex assembly
GO:0010258,NADH dehydrogenase complex (plastoquinone) assembly
GO:0010262,somatic embryogenesis
GO:0010264,myo-inositol hexakisphosphate biosynthetic process
GO:0010265,SCF complex assembly
GO:0010268,brassinosteroid homeostasis
GO:0010270,photosystem II oxygen evolving complex assembly
GO:0010273,detoxification of copper ion
GO:0010274,hydrotropism
GO:0010275,NAD(P)H dehydrogenase complex assembly
GO:0010286,heat acclimation
GO:0010304,PSII associated light-harvesting complex II catabolic process
GO:0010305,leaf vascular tissue pattern formation
GO:0010306,rhamnogalacturonan II biosynthetic process
GO:0010311,lateral root formation
GO:0010312,detoxification of zinc ion
GO:0010315,auxin export across the plasma membrane
GO:0010321,regulation of vegetative phase change
GO:0010324,membrane invagination
GO:0010325,raffinose family oligosaccharide biosynthetic process
GO:0010332,response to gamma radiation
GO:0010337,regulation of salicylic acid metabolic process
GO:0010338,leaf formation
GO:0010343,singlet oxygen-mediated programmed cell death
GO:0010344,seed oilbody biogenesis
GO:0010345,suberin biosynthetic process
GO:0010346,shoot axis formation
GO:0010363,regulation of plant-type hypersensitive response
GO:0010371,regulation of gibberellin biosynthetic process
GO:0010374,stomatal complex development
GO:0010383,cell wall polysaccharide metabolic process
GO:0010384,cell wall proteoglycan metabolic process
GO:0010387,COP9 signalosome assembly
GO:0010389,regulation of G2/M transition of mitotic cell cycle
GO:0010390,histone monoubiquitination
GO:0010393,galacturonan metabolic process
GO:0010396,rhamnogalacturonan II metabolic process
GO:0010404,cell wall hydroxyproline-rich glycoprotein metabolic process
GO:0010405,arabinogalactan protein metabolic process
GO:0010410,hemicellulose metabolic process
GO:0010411,xyloglucan metabolic process
GO:0010413,glucuronoxylan metabolic process
GO:0010417,glucuronoxylan biosynthetic process
GO:0010424,DNA methylation on cytosine within a CG sequence
GO:0010425,DNA methylation on cytosine within a CNG sequence
GO:0010426,DNA methylation on cytosine within a CHH sequence
GO:0010430,fatty acid omega-oxidation
GO:0010431,seed maturation
GO:0010438,cellular response to sulfur starvation
GO:0010447,response to acidic pH
GO:0010449,root meristem growth
GO:0010452,histone H3-K36 methylation
GO:0010458,exit from mitosis
GO:0010466,negative regulation of peptidase activity
GO:0010467,gene expression
GO:0010468,regulation of gene expression
GO:0010476,gibberellin mediated signaling pathway
GO:0010478,chlororespiration
GO:0010492,maintenance of shoot apical meristem identity
GO:0010496,intercellular transport
GO:0010497,plasmodesmata-mediated intercellular transport
GO:0010498,proteasomal protein catabolic process
GO:0010499,proteasomal ubiquitin-independent protein catabolic process
GO:0010506,regulation of autophagy
GO:0010507,negative regulation of autophagy
GO:0010520,regulation of reciprocal meiotic recombination
GO:0010540,basipetal auxin transport
GO:0010556,regulation of macromolecule biosynthetic process
GO:0010557,positive regulation of macromolecule biosynthetic process
GO:0010558,negative regulation of macromolecule biosynthetic process
GO:0010562,positive regulation of phosphorus metabolic process
GO:0010563,negative regulation of phosphorus metabolic process
GO:0010564,regulation of cell cycle process
GO:0010565,regulation of cellular ketone metabolic process
GO:0010569,regulation of double-strand break repair via homologous recombination
GO:0010582,floral meristem determinacy
GO:0010584,pollen exine formation
GO:0010586,miRNA metabolic process
GO:0010587,miRNA catabolic process
GO:0010604,positive regulation of macromolecule metabolic process
GO:0010605,negative regulation of macromolecule metabolic process
GO:0010608,post-transcriptional regulation of gene expression
GO:0010628,positive regulation of gene expression
GO:0010629,negative regulation of gene expression
GO:0010638,positive regulation of organelle organization
GO:0010639,negative regulation of organelle organization
GO:0010646,regulation of cell communication
GO:0010647,positive regulation of cell communication
GO:0010648,negative regulation of cell communication
GO:0010675,regulation of cellular carbohydrate metabolic process
GO:0010677,negative regulation of cellular carbohydrate metabolic process
GO:0010731,protein glutathionylation
GO:0010769,regulation of cell morphogenesis involved in differentiation
GO:0010774,meiotic strand invasion involved in reciprocal meiotic recombination
GO:0010792,DNA double-strand break processing involved in repair via single-strand annealing
GO:0010817,regulation of hormone levels
GO:0010821,regulation of mitochondrion organization
GO:0010823,negative regulation of mitochondrion organization
GO:0010833,telomere maintenance via telomere lengthening
GO:0010845,positive regulation of reciprocal meiotic recombination
GO:0010866,regulation of triglyceride biosynthetic process
GO:0010876,lipid localization
GO:0010906,regulation of glucose metabolic process
GO:0010921,regulation of phosphatase activity
GO:0010923,negative regulation of phosphatase activity
GO:0010927,cellular component assembly involved in morphogenesis
GO:0010928,regulation of auxin mediated signaling pathway
GO:0010941,regulation of cell death
GO:0010942,positive regulation of cell death
GO:0010948,negative regulation of cell cycle process
GO:0010950,positive regulation of endopeptidase activity
GO:0010951,negative regulation of endopeptidase activity
GO:0010952,positive regulation of peptidase activity
GO:0010959,regulation of metal ion transport
GO:0010960,magnesium ion homeostasis
GO:0010962,regulation of glucan biosynthetic process
GO:0010964,regulation of small non-coding RNA-mediated heterochromatin formation
GO:0010965,regulation of mitotic sister chromatid separation
GO:0010968,regulation of microtubule nucleation
GO:0010970,transport along microtubule
GO:0010972,negative regulation of G2/M transition of mitotic cell cycle
GO:0010981,regulation of cell wall macromolecule metabolic process
GO:0010992,ubiquitin recycling
GO:0012501,programmed cell death
GO:0014070,response to organic cyclic compound
GO:0015012,heparan sulfate proteoglycan biosynthetic process
GO:0015015,"heparan sulfate proteoglycan biosynthetic process, enzymatic modification"
GO:0015031,protein transport
GO:0015074,DNA integration
GO:0015669,gas transport
GO:0015671,oxygen transport
GO:0015689,molybdate ion transport
GO:0015691,cadmium ion transport
GO:0015693,magnesium ion transport
GO:0015695,organic cation transport
GO:0015697,quaternary ammonium group transport
GO:0015698,inorganic anion transport
GO:0015706,nitrate transmembrane transport
GO:0015709,thiosulfate transport
GO:0015711,organic anion transport
GO:0015712,hexose phosphate transport
GO:0015713,phosphoglycerate transmembrane transport
GO:0015717,triose phosphate transport
GO:0015718,monocarboxylic acid transport
GO:0015720,allantoin transport
GO:0015729,oxaloacetate transport
GO:0015739,sialic acid transport
GO:0015740,C4-dicarboxylate transport
GO:0015741,fumarate transport
GO:0015743,malate transport
GO:0015744,succinate transport
GO:0015746,citrate transport
GO:0015748,organophosphate ester transport
GO:0015749,monosaccharide transmembrane transport
GO:0015755,fructose transmembrane transport
GO:0015760,glucose-6-phosphate transport
GO:0015766,disaccharide transport
GO:0015768,maltose transport
GO:0015770,sucrose transport
GO:0015772,oligosaccharide transport
GO:0015780,nucleotide-sugar transmembrane transport
GO:0015783,GDP-fucose transmembrane transport
GO:0015786,UDP-glucose transmembrane transport
GO:0015787,UDP-glucuronic acid transmembrane transport
GO:0015789,UDP-N-acetylgalactosamine transmembrane transport
GO:0015790,UDP-xylose transmembrane transport
GO:0015798,myo-inositol transport
GO:0015800,acidic amino acid transport
GO:0015801,aromatic amino acid transport
GO:0015802,basic amino acid transport
GO:0015804,neutral amino acid transport
GO:0015805,S-adenosyl-L-methionine transport
GO:0015807,L-amino acid transport
GO:0015808,L-alanine transport
GO:0015810,aspartate transmembrane transport
GO:0015811,L-cystine transport
GO:0015812,gamma-aminobutyric acid transport
GO:0015813,L-glutamate transmembrane transport
GO:0015822,ornithine transport
GO:0015824,proline transport
GO:0015827,tryptophan transport
GO:0015833,peptide transport
GO:0015837,amine transport
GO:0015840,urea transport
GO:0015846,polyamine transport
GO:0015849,organic acid transport
GO:0015850,organic hydroxy compound transport
GO:0015851,nucleobase transport
GO:0015855,pyrimidine nucleobase transport
GO:0015857,uracil transport
GO:0015858,nucleoside transport
GO:0015860,purine nucleoside transmembrane transport
GO:0015865,purine nucleotide transport
GO:0015866,ADP transport
GO:0015867,ATP transport
GO:0015868,purine ribonucleotide transport
GO:0015880,coenzyme A transport
GO:0015883,FAD transport
GO:0015884,folic acid transport
GO:0015886,heme transport
GO:0015888,thiamine transport
GO:0015908,fatty acid transport
GO:0015909,long-chain fatty acid transport
GO:0015910,long-chain fatty acid import into peroxisome
GO:0015914,phospholipid transport
GO:0015918,sterol transport
GO:0015919,peroxisomal membrane transport
GO:0015931,nucleobase-containing compound transport
GO:0015936,coenzyme A metabolic process
GO:0015937,coenzyme A biosynthetic process
GO:0015938,coenzyme A catabolic process
GO:0015939,pantothenate metabolic process
GO:0015940,pantothenate biosynthetic process
GO:0015942,formate metabolic process
GO:0015969,guanosine tetraphosphate metabolic process
GO:0015976,carbon utilization
GO:0015977,carbon fixation
GO:0015979,photosynthesis
GO:0015980,energy derivation by oxidation of organic compounds
GO:0015985,"energy coupled proton transport, down electrochemical gradient"
GO:0015986,proton motive force-driven ATP synthesis
GO:0015988,"energy coupled proton transmembrane transport, against electrochemical gradient"
GO:0015990,electron transport coupled proton transport
GO:0015994,chlorophyll metabolic process
GO:0015995,chlorophyll biosynthetic process
GO:0015996,chlorophyll catabolic process
GO:0016024,CDP-diacylglycerol biosynthetic process
GO:0016032,viral process
GO:0016036,cellular response to phosphate starvation
GO:0016042,lipid catabolic process
GO:0016043,cellular component organization
GO:0016049,cell growth
GO:0016050,vesicle organization
GO:0016051,carbohydrate biosynthetic process
GO:0016052,carbohydrate catabolic process
GO:0016053,organic acid biosynthetic process
GO:0016054,organic acid catabolic process
GO:0016070,RNA metabolic process
GO:0016071,mRNA metabolic process
GO:0016072,rRNA metabolic process
GO:0016073,snRNA metabolic process
GO:0016074,sno(s)RNA metabolic process
GO:0016075,rRNA catabolic process
GO:0016076,snRNA catabolic process
GO:0016077,sno(s)RNA catabolic process
GO:0016078,tRNA catabolic process
GO:0016093,polyprenol metabolic process
GO:0016094,polyprenol biosynthetic process
GO:0016095,polyprenol catabolic process
GO:0016101,diterpenoid metabolic process
GO:0016102,diterpenoid biosynthetic process
GO:0016103,diterpenoid catabolic process
GO:0016104,triterpenoid biosynthetic process
GO:0016106,sesquiterpenoid biosynthetic process
GO:0016107,sesquiterpenoid catabolic process
GO:0016108,tetraterpenoid metabolic process
GO:0016109,tetraterpenoid biosynthetic process
GO:0016114,terpenoid biosynthetic process
GO:0016115,terpenoid catabolic process
GO:0016116,carotenoid metabolic process
GO:0016117,carotenoid biosynthetic process
GO:0016119,carotene metabolic process
GO:0016120,carotene biosynthetic process
GO:0016121,carotene catabolic process
GO:0016122,xanthophyll metabolic process
GO:0016123,xanthophyll biosynthetic process
GO:0016125,sterol metabolic process
GO:0016126,sterol biosynthetic process
GO:0016127,sterol catabolic process
GO:0016128,phytosteroid metabolic process
GO:0016129,phytosteroid biosynthetic process
GO:0016131,brassinosteroid metabolic process
GO:0016132,brassinosteroid biosynthetic process
GO:0016137,glycoside metabolic process
GO:0016139,glycoside catabolic process
GO:0016143,S-glycoside metabolic process
GO:0016145,S-glycoside catabolic process
GO:0016180,snRNA processing
GO:0016192,vesicle-mediated transport
GO:0016197,endosomal transport
GO:0016226,iron-sulfur cluster assembly
GO:0016233,telomere capping
GO:0016236,macroautophagy
GO:0016237,lysosomal microautophagy
GO:0016241,regulation of macroautophagy
GO:0016242,negative regulation of macroautophagy
GO:0016255,attachment of GPI anchor to protein
GO:0016310,phosphorylation
GO:0016311,dephosphorylation
GO:0016320,endoplasmic reticulum membrane fusion
GO:0016441,post-transcriptional gene silencing
GO:0016444,somatic cell DNA recombination
GO:0016477,cell migration
GO:0016480,negative regulation of transcription by RNA polymerase III
GO:0016482,cytosolic transport
GO:0016485,protein processing
GO:0016540,protein autoprocessing
GO:0016553,base conversion or substitution editing
GO:0016554,cytidine to uridine editing
GO:0016556,mRNA modification
GO:0016558,protein import into peroxisome matrix
GO:0016559,peroxisome fission
GO:0016560,"protein import into peroxisome matrix, docking"
GO:0016567,protein ubiquitination
GO:0016570,histone modification
GO:0016571,histone methylation
GO:0016573,histone acetylation
GO:0016574,histone ubiquitination
GO:0016575,histone deacetylation
GO:0016577,histone demethylation
GO:0016578,histone deubiquitination
GO:0016579,protein deubiquitination
GO:0016598,protein arginylation
GO:0016925,protein sumoylation
GO:0016926,protein desumoylation
GO:0016973,poly(A)+ mRNA export from nucleus
GO:0016998,cell wall macromolecule catabolic process
GO:0016999,antibiotic metabolic process
GO:0017001,antibiotic catabolic process
GO:0017003,protein-heme linkage
GO:0017004,cytochrome complex assembly
GO:0017006,protein-tetrapyrrole linkage
GO:0017007,protein-bilin linkage
GO:0017009,protein-phycocyanobilin linkage
GO:0017038,protein import
GO:0017062,respiratory chain complex III assembly
GO:0017121,plasma membrane phospholipid scrambling
GO:0017126,nucleologenesis
GO:0017148,negative regulation of translation
GO:0017157,regulation of exocytosis
GO:0017182,peptidyl-diphthamide metabolic process
GO:0017183,peptidyl-diphthamide biosynthetic process from peptidyl-histidine
GO:0017186,"peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase"
GO:0017196,N-terminal peptidyl-methionine acetylation
GO:0018008,N-terminal peptidyl-glycine N-myristoylation
GO:0018022,peptidyl-lysine methylation
GO:0018023,peptidyl-lysine trimethylation
GO:0018026,peptidyl-lysine monomethylation
GO:0018027,peptidyl-lysine dimethylation
GO:0018105,peptidyl-serine phosphorylation
GO:0018106,peptidyl-histidine phosphorylation
GO:0018107,peptidyl-threonine phosphorylation
GO:0018108,peptidyl-tyrosine phosphorylation
GO:0018126,protein hydroxylation
GO:0018130,heterocycle biosynthetic process
GO:0018131,oxazole or thiazole biosynthetic process
GO:0018142,protein-DNA covalent cross-linking
GO:0018143,nucleic acid-protein covalent cross-linking
GO:0018158,protein oxidation
GO:0018160,peptidyl-pyrromethane cofactor linkage
GO:0018171,peptidyl-cysteine oxidation
GO:0018193,peptidyl-amino acid modification
GO:0018195,peptidyl-arginine modification
GO:0018196,peptidyl-asparagine modification
GO:0018198,peptidyl-cysteine modification
GO:0018199,peptidyl-glutamine modification
GO:0018201,peptidyl-glycine modification
GO:0018202,peptidyl-histidine modification
GO:0018205,peptidyl-lysine modification
GO:0018206,peptidyl-methionine modification
GO:0018208,peptidyl-proline modification
GO:0018209,peptidyl-serine modification
GO:0018210,peptidyl-threonine modification
GO:0018212,peptidyl-tyrosine modification
GO:0018215,protein phosphopantetheinylation
GO:0018216,peptidyl-arginine methylation
GO:0018230,peptidyl-L-cysteine S-palmitoylation
GO:0018231,peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine
GO:0018258,protein O-linked glycosylation via hydroxyproline
GO:0018279,protein N-linked glycosylation via asparagine
GO:0018282,metal incorporation into metallo-sulfur cluster
GO:0018283,iron incorporation into metallo-sulfur cluster
GO:0018293,protein-FAD linkage
GO:0018342,protein prenylation
GO:0018343,protein farnesylation
GO:0018344,protein geranylgeranylation
GO:0018345,protein palmitoylation
GO:0018364,peptidyl-glutamine methylation
GO:0018377,protein myristoylation
GO:0018393,internal peptidyl-lysine acetylation
GO:0018394,peptidyl-lysine acetylation
GO:0018401,peptidyl-proline hydroxylation to 4-hydroxy-L-proline
GO:0018410,C-terminal protein amino acid modification
GO:0018871,1-aminocyclopropane-1-carboxylate metabolic process
GO:0018904,ether metabolic process
GO:0018958,phenol-containing compound metabolic process
GO:0019184,nonribosomal peptide biosynthetic process
GO:0019216,regulation of lipid metabolic process
GO:0019217,regulation of fatty acid metabolic process
GO:0019219,regulation of nucleobase-containing compound metabolic process
GO:0019220,regulation of phosphate metabolic process
GO:0019222,regulation of metabolic process
GO:0019240,citrulline biosynthetic process
GO:0019243,methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
GO:0019252,starch biosynthetic process
GO:0019253,reductive pentose-phosphate cycle
GO:0019264,glycine biosynthetic process from serine
GO:0019265,"glycine biosynthetic process, by transamination of glyoxylate"
GO:0019284,L-methionine salvage from S-adenosylmethionine
GO:0019285,glycine betaine biosynthetic process from choline
GO:0019287,"isopentenyl diphosphate biosynthetic process, mevalonate pathway"
GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway"
GO:0019290,siderophore biosynthetic process
GO:0019303,D-ribose catabolic process
GO:0019305,dTDP-rhamnose biosynthetic process
GO:0019310,inositol catabolic process
GO:0019318,hexose metabolic process
GO:0019319,hexose biosynthetic process
GO:0019320,hexose catabolic process
GO:0019321,pentose metabolic process
GO:0019323,pentose catabolic process
GO:0019336,phenol-containing compound catabolic process
GO:0019343,cysteine biosynthetic process via cystathionine
GO:0019344,cysteine biosynthetic process
GO:0019346,transsulfuration
GO:0019348,dolichol metabolic process
GO:0019354,siroheme biosynthetic process
GO:0019357,nicotinate nucleotide biosynthetic process
GO:0019358,nicotinate nucleotide salvage
GO:0019359,nicotinamide nucleotide biosynthetic process
GO:0019362,pyridine nucleotide metabolic process
GO:0019363,pyridine nucleotide biosynthetic process
GO:0019364,pyridine nucleotide catabolic process
GO:0019365,pyridine nucleotide salvage
GO:0019367,"fatty acid elongation, saturated fatty acid"
GO:0019368,"fatty acid elongation, unsaturated fatty acid"
GO:0019370,leukotriene biosynthetic process
GO:0019374,galactolipid metabolic process
GO:0019375,galactolipid biosynthetic process
GO:0019377,glycolipid catabolic process
GO:0019388,galactose catabolic process
GO:0019395,fatty acid oxidation
GO:0019400,alditol metabolic process
GO:0019401,alditol biosynthetic process
GO:0019405,alditol catabolic process
GO:0019408,dolichol biosynthetic process
GO:0019419,sulfate reduction
GO:0019427,acetyl-CoA biosynthetic process from acetate
GO:0019430,removal of superoxide radicals
GO:0019432,triglyceride biosynthetic process
GO:0019433,triglyceride catabolic process
GO:0019438,aromatic compound biosynthetic process
GO:0019439,aromatic compound catabolic process
GO:0019441,tryptophan catabolic process to kynurenine
GO:0019464,glycine decarboxylation via glycine cleavage system
GO:0019474,L-lysine catabolic process to acetyl-CoA
GO:0019477,L-lysine catabolic process
GO:0019478,D-amino acid catabolic process
GO:0019481,"L-alanine catabolic process, by transamination"
GO:0019482,beta-alanine metabolic process
GO:0019483,beta-alanine biosynthetic process
GO:0019493,arginine catabolic process to proline
GO:0019499,cyanide metabolic process
GO:0019509,L-methionine salvage from methylthioadenosine
GO:0019510,S-adenosylhomocysteine catabolic process
GO:0019511,peptidyl-proline hydroxylation
GO:0019520,aldonic acid metabolic process
GO:0019521,D-gluconate metabolic process
GO:0019538,protein metabolic process
GO:0019544,arginine catabolic process to glutamate
GO:0019563,glycerol catabolic process
GO:0019566,arabinose metabolic process
GO:0019586,galacturonate metabolic process
GO:0019627,urea metabolic process
GO:0019628,urate catabolic process
GO:0019632,shikimate metabolic process
GO:0019637,organophosphate metabolic process
GO:0019646,aerobic electron transport chain
GO:0019673,GDP-mannose metabolic process
GO:0019674,NAD metabolic process
GO:0019676,ammonia assimilation cycle
GO:0019677,NAD catabolic process
GO:0019682,glyceraldehyde-3-phosphate metabolic process
GO:0019684,"photosynthesis, light reaction"
GO:0019685,"photosynthesis, dark reaction"
GO:0019692,deoxyribose phosphate metabolic process
GO:0019693,ribose phosphate metabolic process
GO:0019695,choline metabolic process
GO:0019720,Mo-molybdopterin cofactor metabolic process
GO:0019722,calcium-mediated signaling
GO:0019725,cellular homeostasis
GO:0019740,nitrogen utilization
GO:0019747,regulation of isoprenoid metabolic process
GO:0019748,secondary metabolic process
GO:0019750,chloroplast localization
GO:0019751,polyol metabolic process
