mf,name
GO:0004748,"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"
GO:0004749,ribose phosphate diphosphokinase activity
GO:0004750,D-ribulose-phosphate 3-epimerase activity
GO:0004751,ribose-5-phosphate isomerase activity
GO:0004758,serine C-palmitoyltransferase activity
GO:0004760,serine-pyruvate transaminase activity
GO:0004764,shikimate 3-dehydrogenase (NADP+) activity
GO:0004765,shikimate kinase activity
GO:0004766,spermidine synthase activity
GO:0004768,stearoyl-CoA 9-desaturase activity
GO:0004769,steroid delta-isomerase activity
GO:0004774,succinate-CoA ligase activity
GO:0004775,succinate-CoA ligase (ADP-forming) activity
GO:0004776,succinate-CoA ligase (GDP-forming) activity
GO:0004777,succinate-semialdehyde dehydrogenase (NAD+) activity
GO:0004779,sulfate adenylyltransferase activity
GO:0004781,sulfate adenylyltransferase (ATP) activity
GO:0004784,superoxide dismutase activity
GO:0004788,thiamine diphosphokinase activity
GO:0004789,thiamine-phosphate diphosphorylase activity
GO:0004791,thioredoxin-disulfide reductase activity
GO:0004792,thiosulfate sulfurtransferase activity
GO:0004793,threonine aldolase activity
GO:0004794,L-threonine ammonia-lyase activity
GO:0004795,threonine synthase activity
GO:0004797,thymidine kinase activity
GO:0004798,thymidylate kinase activity
GO:0004799,thymidylate synthase activity
GO:0004801,transaldolase activity
GO:0004802,transketolase activity
GO:0004805,trehalose-phosphatase activity
GO:0004806,triglyceride lipase activity
GO:0004807,triose-phosphate isomerase activity
GO:0004809,tRNA (guanine-N2-)-methyltransferase activity
GO:0004810,tRNA adenylyltransferase activity
GO:0004812,aminoacyl-tRNA ligase activity
GO:0004813,alanine-tRNA ligase activity
GO:0004814,arginine-tRNA ligase activity
GO:0004815,aspartate-tRNA ligase activity
GO:0004816,asparagine-tRNA ligase activity
GO:0004817,cysteine-tRNA ligase activity
GO:0004818,glutamate-tRNA ligase activity
GO:0004819,glutamine-tRNA ligase activity
GO:0004820,glycine-tRNA ligase activity
GO:0004821,histidine-tRNA ligase activity
GO:0004822,isoleucine-tRNA ligase activity
GO:0004823,leucine-tRNA ligase activity
GO:0004824,lysine-tRNA ligase activity
GO:0004825,methionine-tRNA ligase activity
GO:0004826,phenylalanine-tRNA ligase activity
GO:0004827,proline-tRNA ligase activity
GO:0004828,serine-tRNA ligase activity
GO:0004829,threonine-tRNA ligase activity
GO:0004830,tryptophan-tRNA ligase activity
GO:0004831,tyrosine-tRNA ligase activity
GO:0004832,valine-tRNA ligase activity
GO:0004834,tryptophan synthase activity
GO:0004838,L-tyrosine:2-oxoglutarate aminotransferase activity
GO:0004839,ubiquitin activating enzyme activity
GO:0004842,ubiquitin-protein transferase activity
GO:0004843,cysteine-type deubiquitinase activity
GO:0004844,uracil DNA N-glycosylase activity
GO:0004845,uracil phosphoribosyltransferase activity
GO:0004846,urate oxidase activity
GO:0004848,ureidoglycolate hydrolase activity
GO:0004849,uridine kinase activity
GO:0004851,uroporphyrin-III C-methyltransferase activity
GO:0004852,uroporphyrinogen-III synthase activity
GO:0004853,uroporphyrinogen decarboxylase activity
GO:0004856,xylulokinase activity
GO:0004857,enzyme inhibitor activity
GO:0004860,protein kinase inhibitor activity
GO:0004861,cyclin-dependent protein serine/threonine kinase inhibitor activity
GO:0004864,protein phosphatase inhibitor activity
GO:0004865,protein serine/threonine phosphatase inhibitor activity
GO:0004866,endopeptidase inhibitor activity
GO:0004867,serine-type endopeptidase inhibitor activity
GO:0004869,cysteine-type endopeptidase inhibitor activity
GO:0004888,transmembrane signaling receptor activity
GO:0004930,G protein-coupled receptor activity
GO:0004970,ionotropic glutamate receptor activity
GO:0005047,signal recognition particle binding
GO:0005048,signal sequence binding
GO:0005049,nuclear export signal receptor activity
GO:0005052,peroxisome matrix targeting signal-1 binding
GO:0005053,peroxisome matrix targeting signal-2 binding
GO:0005080,protein kinase C binding
GO:0005085,guanyl-nucleotide exchange factor activity
GO:0005092,GDP-dissociation inhibitor activity
GO:0005093,Rab GDP-dissociation inhibitor activity
GO:0005094,Rho GDP-dissociation inhibitor activity
GO:0005096,GTPase activator activity
GO:0005102,signaling receptor binding
GO:0005179,hormone activity
GO:0005198,structural molecule activity
GO:0005199,structural constituent of cell wall
GO:0005200,structural constituent of cytoskeleton
GO:0005215,transporter activity
GO:0005216,ion channel activity
GO:0005227,calcium activated cation channel activity
GO:0005230,extracellular ligand-gated ion channel activity
GO:0005244,voltage-gated ion channel activity
GO:0005245,voltage-gated calcium channel activity
GO:0005247,voltage-gated chloride channel activity
GO:0005249,voltage-gated potassium channel activity
GO:0005253,anion channel activity
GO:0005254,chloride channel activity
GO:0005261,cation channel activity
GO:0005262,calcium channel activity
GO:0005267,potassium channel activity
GO:0005274,allantoin:proton symporter activity
GO:0005310,dicarboxylic acid transmembrane transporter activity
GO:0005313,L-glutamate transmembrane transporter activity
GO:0005315,inorganic phosphate transmembrane transporter activity
GO:0005319,lipid transporter activity
GO:0005324,long-chain fatty acid transporter activity
GO:0005337,nucleoside transmembrane transporter activity
GO:0005338,nucleotide-sugar transmembrane transporter activity
GO:0005342,organic acid transmembrane transporter activity
GO:0005344,oxygen carrier activity
GO:0005345,purine nucleobase transmembrane transporter activity
GO:0005346,purine ribonucleotide transmembrane transporter activity
GO:0005347,ATP transmembrane transporter activity
GO:0005350,pyrimidine nucleobase transmembrane transporter activity
GO:0005351,carbohydrate:proton symporter activity
GO:0005353,fructose transmembrane transporter activity
GO:0005354,galactose transmembrane transporter activity
GO:0005355,glucose transmembrane transporter activity
GO:0005363,maltose transmembrane transporter activity
GO:0005365,myo-inositol transmembrane transporter activity
GO:0005366,myo-inositol:proton symporter activity
GO:0005372,water transmembrane transporter activity
GO:0005375,copper ion transmembrane transporter activity
GO:0005381,iron ion transmembrane transporter activity
GO:0005384,manganese ion transmembrane transporter activity
GO:0005385,zinc ion transmembrane transporter activity
GO:0005388,P-type calcium transporter activity
GO:0005402,carbohydrate:cation symporter activity
GO:0005451,monovalent cation:proton antiporter activity
GO:0005452,solute:inorganic anion antiporter activity
GO:0005457,GDP-fucose transmembrane transporter activity
GO:0005458,GDP-mannose transmembrane transporter activity
GO:0005459,UDP-galactose transmembrane transporter activity
GO:0005460,UDP-glucose transmembrane transporter activity
GO:0005461,UDP-glucuronic acid transmembrane transporter activity
GO:0005462,UDP-N-acetylglucosamine transmembrane transporter activity
GO:0005463,UDP-N-acetylgalactosamine transmembrane transporter activity
GO:0005464,UDP-xylose transmembrane transporter activity
GO:0005469,succinate:fumarate antiporter activity
GO:0005471,ATP:ADP antiporter activity
GO:0005483,soluble NSF attachment protein activity
GO:0005484,SNAP receptor activity
GO:0005488,binding
GO:0005496,steroid binding
GO:0005504,fatty acid binding
GO:0005506,iron ion binding
GO:0005507,copper ion binding
GO:0005509,calcium ion binding
GO:0005515,protein binding
GO:0005516,calmodulin binding
GO:0005524,ATP binding
GO:0005525,GTP binding
GO:0005534,galactose binding
GO:0005536,glucose binding
GO:0005542,folic acid binding
GO:0005543,phospholipid binding
GO:0005544,calcium-dependent phospholipid binding
GO:0005545,1-phosphatidylinositol binding
GO:0005546,"phosphatidylinositol-4,5-bisphosphate binding"
GO:0005548,phospholipid transporter activity
GO:0008017,microtubule binding
GO:0008022,protein C-terminus binding
GO:0008028,monocarboxylic acid transmembrane transporter activity
GO:0008047,enzyme activator activity
GO:0008061,chitin binding
GO:0008066,glutamate receptor activity
GO:0008079,translation termination factor activity
GO:0008080,N-acetyltransferase activity
GO:0008081,phosphoric diester hydrolase activity
GO:0008083,growth factor activity
GO:0008092,cytoskeletal protein binding
GO:0008094,"ATP-dependent activity, acting on DNA"
GO:0008097,5S rRNA binding
GO:0008106,alcohol dehydrogenase (NADP+) activity
GO:0008107,galactoside 2-alpha-L-fucosyltransferase activity
GO:0008108,UDP-glucose:hexose-1-phosphate uridylyltransferase activity
GO:0008113,peptide-methionine (S)-S-oxide reductase activity
GO:0008114,phosphogluconate 2-dehydrogenase activity
GO:0008115,sarcosine oxidase activity
GO:0008117,sphinganine-1-phosphate aldolase activity
GO:0008120,ceramide glucosyltransferase activity
GO:0008121,ubiquinol-cytochrome-c reductase activity
GO:0008124,4-alpha-hydroxytetrahydrobiopterin dehydratase activity
GO:0008131,primary amine oxidase activity
GO:0008134,transcription factor binding
GO:0008135,"translation factor activity, RNA binding"
GO:0008137,NADH dehydrogenase (ubiquinone) activity
GO:0008138,protein tyrosine/serine/threonine phosphatase activity
GO:0008139,nuclear localization sequence binding
GO:0008143,poly(A) binding
GO:0008146,sulfotransferase activity
GO:0008157,protein phosphatase 1 binding
GO:0008158,hedgehog receptor activity
GO:0008160,protein tyrosine phosphatase activator activity
GO:0008168,methyltransferase activity
GO:0008169,C-methyltransferase activity
GO:0008170,N-methyltransferase activity
GO:0008171,O-methyltransferase activity
GO:0008172,S-methyltransferase activity
GO:0008173,RNA methyltransferase activity
GO:0008174,mRNA methyltransferase activity
GO:0008175,tRNA methyltransferase activity
GO:0008176,tRNA (guanine-N7-)-methyltransferase activity
GO:0008177,succinate dehydrogenase (ubiquinone) activity
GO:0008179,adenylate cyclase binding
GO:0008184,glycogen phosphorylase activity
GO:0008186,"ATP-dependent activity, acting on RNA"
GO:0008187,poly-pyrimidine tract binding
GO:0008192,RNA guanylyltransferase activity
GO:0008193,tRNA guanylyltransferase activity
GO:0008194,UDP-glycosyltransferase activity
GO:0008195,phosphatidate phosphatase activity
GO:0008198,ferrous iron binding
GO:0008199,ferric iron binding
GO:0008200,ion channel inhibitor activity
GO:0008233,peptidase activity
GO:0008234,cysteine-type peptidase activity
GO:0008235,metalloexopeptidase activity
GO:0008236,serine-type peptidase activity
GO:0008237,metallopeptidase activity
GO:0008238,exopeptidase activity
GO:0008239,dipeptidyl-peptidase activity
GO:0008240,tripeptidyl-peptidase activity
GO:0008242,omega peptidase activity
GO:0008251,tRNA-specific adenosine deaminase activity
GO:0008252,nucleotidase activity
GO:0008253,5'-nucleotidase activity
GO:0008265,Mo-molybdopterin cofactor sulfurase activity
GO:0008266,poly(U) RNA binding
GO:0008270,zinc ion binding
GO:0008271,secondary active sulfate transmembrane transporter activity
GO:0008276,protein methyltransferase activity
GO:0008289,lipid binding
GO:0008296,3'-5'-exodeoxyribonuclease activity
GO:0008297,single-stranded DNA exodeoxyribonuclease activity
GO:0008308,voltage-gated anion channel activity
GO:0008309,double-stranded DNA exodeoxyribonuclease activity
GO:0008311,double-stranded DNA 3'-5' exodeoxyribonuclease activity
GO:0008312,7S RNA binding
GO:0008318,protein prenyltransferase activity
GO:0008320,protein transmembrane transporter activity
GO:0008324,cation transmembrane transporter activity
GO:0008330,protein tyrosine/threonine phosphatase activity
GO:0008353,RNA polymerase II CTD heptapeptide repeat kinase activity
GO:0008373,sialyltransferase activity
GO:0008374,O-acyltransferase activity
GO:0008375,acetylglucosaminyltransferase activity
GO:0008378,galactosyltransferase activity
GO:0008379,thioredoxin peroxidase activity
GO:0008381,mechanosensitive ion channel activity
GO:0008408,3'-5' exonuclease activity
GO:0008409,5'-3' exonuclease activity
GO:0008412,4-hydroxybenzoate octaprenyltransferase activity
GO:0008417,fucosyltransferase activity
GO:0008418,protein-N-terminal asparagine amidohydrolase activity
GO:0008419,RNA lariat debranching enzyme activity
GO:0008420,RNA polymerase II CTD heptapeptide repeat phosphatase activity
GO:0008422,beta-glucosidase activity
GO:0008425,"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity"
GO:0008428,ribonuclease inhibitor activity
GO:0008429,phosphatidylethanolamine binding
GO:0008430,selenium binding
GO:0008440,"inositol-1,4,5-trisphosphate 3-kinase activity"
GO:0008441,"3'(2'),5'-bisphosphate nucleotidase activity"
GO:0008442,3-hydroxyisobutyrate dehydrogenase activity
GO:0008443,phosphofructokinase activity
GO:0008444,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity
GO:0008446,"GDP-mannose 4,6-dehydratase activity"
GO:0008447,L-ascorbate oxidase activity
GO:0008452,RNA ligase activity
GO:0008453,alanine-glyoxylate transaminase activity
GO:0008455,"alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity"
GO:0008460,"dTDP-glucose 4,6-dehydratase activity"
GO:0008465,glycerate dehydrogenase activity
GO:0008469,histone-arginine N-methyltransferase activity
GO:0008470,isovaleryl-CoA dehydrogenase activity
GO:0008474,palmitoyl-(protein) hydrolase activity
GO:0008477,purine nucleosidase activity
GO:0008478,pyridoxal kinase activity
GO:0008482,sulfite oxidase activity
GO:0008483,transaminase activity
GO:0008484,sulfuric ester hydrolase activity
GO:0008495,protoheme IX farnesyltransferase activity
GO:0008506,sucrose:proton symporter activity
GO:0008509,anion transmembrane transporter activity
GO:0008514,organic anion transmembrane transporter activity
GO:0008515,sucrose transmembrane transporter activity
GO:0008517,folic acid transmembrane transporter activity
GO:0008519,ammonium transmembrane transporter activity
GO:0008526,phosphatidylinositol transfer activity
GO:0008531,riboflavin kinase activity
GO:0008534,oxidized purine nucleobase lesion DNA N-glycosylase activity
GO:0008553,P-type proton-exporting transporter activity
GO:0008559,ABC-type xenobiotic transporter activity
GO:0008568,microtubule severing ATPase activity
GO:0008574,plus-end-directed microtubule motor activity
GO:0008641,ubiquitin-like modifier activating enzyme activity
GO:0008649,rRNA methyltransferase activity
GO:0008650,rRNA (uridine-2'-O-)-methyltransferase activity
GO:0008659,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity
GO:0008661,1-deoxy-D-xylulose-5-phosphate synthase activity
GO:0008663,"2',3'-cyclic-nucleotide 2'-phosphodiesterase activity"
GO:0008667,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity"
GO:0008670,"2,4-dienoyl-CoA reductase (NADPH) activity"
GO:0008676,3-deoxy-8-phosphooctulonate synthase activity
GO:0008681,2-octaprenyl-6-methoxyphenol hydroxylase activity
GO:0008685,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity"
GO:0008686,"3,4-dihydroxy-2-butanone-4-phosphate synthase activity"
GO:0008689,3-demethylubiquinone-9 3-O-methyltransferase activity
GO:0008690,3-deoxy-manno-octulosonate cytidylyltransferase activity
GO:0008692,3-hydroxybutyryl-CoA epimerase activity
GO:0008693,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity
GO:0008703,5-amino-6-(5-phosphoribosylamino)uracil reductase activity
GO:0008705,methionine synthase activity
GO:0008716,D-alanine-D-alanine ligase activity
GO:0008720,D-lactate dehydrogenase activity
GO:0008721,D-serine ammonia-lyase activity
GO:0008725,DNA-3-methyladenine glycosylase activity
GO:0008728,GTP diphosphokinase activity
GO:0008732,L-allo-threonine aldolase activity
GO:0008734,L-aspartate oxidase activity
GO:0008757,S-adenosylmethionine-dependent methyltransferase activity
GO:0008759,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity
GO:0008780,acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity
GO:0008792,arginine decarboxylase activity
GO:0008793,aromatic-amino-acid:2-oxoglutarate aminotransferase activity
GO:0008798,beta-aspartyl-peptidase activity
GO:0008800,beta-lactamase activity
GO:0008808,cardiolipin synthase activity
GO:0008810,cellulase activity
GO:0008821,crossover junction endodeoxyribonuclease activity
GO:0008824,cyanate hydratase activity
GO:0008830,"dTDP-4-dehydrorhamnose 3,5-epimerase activity"
GO:0008831,dTDP-4-dehydrorhamnose reductase activity
GO:0008832,dGTPase activity
GO:0008835,diaminohydroxyphosphoribosylaminopyrimidine deaminase activity
GO:0008836,diaminopimelate decarboxylase activity
GO:0008837,diaminopimelate epimerase activity
GO:0008839,4-hydroxy-tetrahydrodipicolinate reductase
GO:0008840,4-hydroxy-tetrahydrodipicolinate synthase activity
GO:0008841,dihydrofolate synthase activity
GO:0008863,formate dehydrogenase (NAD+) activity
GO:0008864,formyltetrahydrofolate deformylase activity
GO:0008865,fructokinase activity
GO:0008878,glucose-1-phosphate adenylyltransferase activity
GO:0008883,glutamyl-tRNA reductase activity
GO:0008887,glycerate kinase activity
GO:0008889,glycerophosphodiester phosphodiesterase activity
GO:0008893,"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity"
GO:0008897,holo-[acyl-carrier-protein] synthase activity
GO:0008898,S-adenosylmethionine-homocysteine S-methyltransferase activity
GO:0008902,hydroxymethylpyrimidine kinase activity
GO:0008909,isochorismate synthase activity
GO:0008911,lactaldehyde dehydrogenase activity
GO:0008915,lipid-A-disaccharide synthase activity
GO:0008930,methylthioadenosine nucleosidase activity
GO:0008934,inositol monophosphate 1-phosphatase activity
GO:0008935,"1,4-dihydroxy-2-naphthoyl-CoA synthase activity"
GO:0008936,nicotinamidase activity
GO:0008937,ferredoxin-NAD(P) reductase activity
GO:0008938,nicotinate N-methyltransferase activity
GO:0008940,nitrate reductase activity
GO:0008942,nitrite reductase [NAD(P)H] activity
GO:0008948,oxaloacetate decarboxylase activity
GO:0008962,phosphatidylglycerophosphatase activity
GO:0008963,phospho-N-acetylmuramoyl-pentapeptide-transferase activity
GO:0008964,phosphoenolpyruvate carboxylase activity
GO:0008967,phosphoglycolate phosphatase activity
GO:0008970,phospholipase A1 activity
GO:0008972,phosphomethylpyrimidine kinase activity
GO:0008974,phosphoribulokinase activity
GO:0008977,prephenate dehydrogenase (NAD+) activity
GO:0008987,quinolinate synthetase A activity
GO:0008988,rRNA (adenine-N6-)-methyltransferase activity
GO:0009001,serine O-acetyltransferase activity
GO:0009008,DNA-methyltransferase activity
GO:0009013,succinate-semialdehyde dehydrogenase [NAD(P)+] activity
GO:0009019,tRNA (guanine-N1-)-methyltransferase activity
GO:0009020,tRNA (guanosine-2'-O-)-methyltransferase activity
GO:0009029,tetraacyldisaccharide 4'-kinase activity
GO:0009039,urease activity
GO:0009041,uridylate kinase activity
GO:0009044,"xylan 1,4-beta-xylosidase activity"
GO:0009045,xylose isomerase activity
GO:0009055,electron transfer activity
GO:0009378,four-way junction helicase activity
GO:0009383,rRNA (cytosine-C5-)-methyltransferase activity
GO:0009496,plastoquinol--plastocyanin reductase activity
GO:0009669,sucrose:cation symporter activity
GO:0009671,nitrate:proton symporter activity
GO:0009678,pyrophosphate hydrolysis-driven proton transmembrane transporter activity
GO:0009702,L-arabinokinase activity
GO:0009703,nitrate reductase (NADH) activity
GO:0009824,AMP dimethylallyltransferase activity
GO:0009881,photoreceptor activity
GO:0009882,blue light photoreceptor activity
GO:0009916,alternative oxidase activity
GO:0009918,sterol delta7 reductase activity
GO:0009922,fatty acid elongase activity
GO:0009927,histidine phosphotransfer kinase activity
GO:0009931,calcium-dependent protein serine/threonine kinase activity
GO:0009974,zeinoxanthin epsilon hydroxylase activity
GO:0009975,cyclase activity
GO:0009976,tocopherol cyclase activity
GO:0009977,proton motive force dependent protein transmembrane transporter activity
GO:0009979,16:0 monogalactosyldiacylglycerol desaturase activity
GO:0009982,pseudouridine synthase activity
GO:0010011,auxin binding
GO:0010178,IAA-amino acid conjugate hydrolase activity
GO:0010179,IAA-Ala conjugate hydrolase activity
GO:0010181,FMN binding
GO:0010242,oxygen evolving activity
GO:0010276,phytol kinase activity
GO:0010277,chlorophyllide a oxygenase [overall] activity
GO:0010279,indole-3-acetic acid amido synthetase activity
GO:0010280,UDP-L-rhamnose synthase activity
GO:0010291,carotene beta-ring hydroxylase activity
GO:0010295,(+)-abscisic acid 8'-hydroxylase activity
GO:0010296,prenylcysteine methylesterase activity
GO:0010301,xanthoxin dehydrogenase activity
GO:0010308,acireductone dioxygenase (Ni2+-requiring) activity
GO:0010309,acireductone dioxygenase [iron(II)-requiring] activity
GO:0010328,auxin influx transmembrane transporter activity
GO:0010329,auxin efflux transmembrane transporter activity
GO:0010331,gibberellin binding
GO:0010333,terpene synthase activity
GO:0010340,carboxyl-O-methyltransferase activity
GO:0010349,L-galactose dehydrogenase activity
GO:0010420,"3,4-dihydroxy-5-polyprenylbenzoic acid O-methyltransferase activity"
GO:0010427,abscisic acid binding
GO:0010436,carotenoid dioxygenase activity
GO:0010484,H3 histone acetyltransferase activity
GO:0010485,H4 histone acetyltransferase activity
GO:0010486,manganese:proton antiporter activity
GO:0010487,thermospermine synthase activity
GO:0010488,"UDP-galactose:N-glycan beta-1,3-galactosyltransferase activity"
GO:0010521,telomerase inhibitor activity
GO:0010857,calcium-dependent protein kinase activity
GO:0010945,CoA pyrophosphatase activity
GO:0010997,anaphase-promoting complex binding
GO:0015018,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity
GO:0015020,glucuronosyltransferase activity
GO:0015035,protein-disulfide reductase activity
GO:0015036,disulfide oxidoreductase activity
GO:0015038,glutathione disulfide oxidoreductase activity
GO:0015075,ion transmembrane transporter activity
GO:0015078,proton transmembrane transporter activity
GO:0015079,potassium ion transmembrane transporter activity
GO:0015081,sodium ion transmembrane transporter activity
GO:0015085,calcium ion transmembrane transporter activity
GO:0015086,cadmium ion transmembrane transporter activity
GO:0015093,ferrous iron transmembrane transporter activity
GO:0015095,magnesium ion transmembrane transporter activity
GO:0015098,molybdate ion transmembrane transporter activity
GO:0015101,organic cation transmembrane transporter activity
GO:0015103,inorganic anion transmembrane transporter activity
GO:0015108,chloride transmembrane transporter activity
GO:0015112,nitrate transmembrane transporter activity
GO:0015114,phosphate ion transmembrane transporter activity
GO:0015116,sulfate transmembrane transporter activity
GO:0015117,thiosulfate transmembrane transporter activity
GO:0015119,hexose phosphate transmembrane transporter activity
GO:0015120,phosphoglycerate transmembrane transporter activity
GO:0015131,oxaloacetate transmembrane transporter activity
GO:0015136,sialic acid transmembrane transporter activity
GO:0015137,citrate transmembrane transporter activity
GO:0015138,fumarate transmembrane transporter activity
GO:0015140,malate transmembrane transporter activity
GO:0015141,succinate transmembrane transporter activity
GO:0015142,tricarboxylic acid transmembrane transporter activity
GO:0015144,carbohydrate transmembrane transporter activity
GO:0015145,monosaccharide transmembrane transporter activity
GO:0015146,pentose transmembrane transporter activity
GO:0015148,D-xylose transmembrane transporter activity
GO:0015149,hexose transmembrane transporter activity
GO:0015152,glucose-6-phosphate transmembrane transporter activity
GO:0015154,disaccharide transmembrane transporter activity
GO:0015157,oligosaccharide transmembrane transporter activity
GO:0015165,pyrimidine nucleotide-sugar transmembrane transporter activity
GO:0015166,polyol transmembrane transporter activity
GO:0015168,glycerol transmembrane transporter activity
GO:0015171,amino acid transmembrane transporter activity
GO:0015172,acidic amino acid transmembrane transporter activity
GO:0015173,aromatic amino acid transmembrane transporter activity
GO:0015174,basic amino acid transmembrane transporter activity
GO:0015175,neutral amino acid transmembrane transporter activity
GO:0015179,L-amino acid transmembrane transporter activity
GO:0015180,L-alanine transmembrane transporter activity
GO:0015183,L-aspartate transmembrane transporter activity
GO:0015184,L-cystine transmembrane transporter activity
GO:0015185,gamma-aminobutyric acid transmembrane transporter activity
GO:0015189,L-lysine transmembrane transporter activity
GO:0015193,L-proline transmembrane transporter activity
GO:0015203,polyamine transmembrane transporter activity
GO:0015204,urea transmembrane transporter activity
GO:0015205,nucleobase transmembrane transporter activity
GO:0015210,uracil transmembrane transporter activity
GO:0015211,purine nucleoside transmembrane transporter activity
GO:0015215,nucleotide transmembrane transporter activity
GO:0015216,purine nucleotide transmembrane transporter activity
GO:0015217,ADP transmembrane transporter activity
GO:0015228,coenzyme A transmembrane transporter activity
GO:0015230,FAD transmembrane transporter activity
GO:0015232,heme transmembrane transporter activity
GO:0015234,thiamine transmembrane transporter activity
GO:0015245,fatty acid transmembrane transporter activity
GO:0015248,sterol transporter activity
GO:0015250,water channel activity
GO:0015252,proton channel activity
GO:0015267,channel activity
GO:0015271,outward rectifier potassium channel activity
GO:0015276,ligand-gated ion channel activity
GO:0015288,porin activity
GO:0015291,secondary active transmembrane transporter activity
GO:0015292,uniporter activity
GO:0015293,symporter activity
GO:0015294,solute:cation symporter activity
GO:0015295,solute:proton symporter activity
GO:0015296,anion:cation symporter activity
GO:0015297,antiporter activity
GO:0015298,solute:cation antiporter activity
GO:0015299,solute:proton antiporter activity
GO:0015315,organophosphate:inorganic phosphate antiporter activity
GO:0015318,inorganic molecular entity transmembrane transporter activity
GO:0015368,calcium:cation antiporter activity
GO:0015369,calcium:proton antiporter activity
GO:0015377,cation:chloride symporter activity
GO:0015379,potassium:chloride symporter activity
GO:0015385,sodium:proton antiporter activity
GO:0015386,potassium:proton antiporter activity
GO:0015391,nucleobase:cation symporter activity
GO:0015399,primary active transmembrane transporter activity
GO:0015421,ABC-type oligopeptide transporter activity
GO:0015440,ABC-type peptide transporter activity
GO:0015450,protein-transporting ATPase activity
GO:0015453,oxidoreduction-driven active transmembrane transporter activity
GO:0015462,ABC-type protein transporter activity
GO:0015485,cholesterol binding
GO:0015505,uracil:cation symporter activity
GO:0015513,high-affinity secondary active nitrite transmembrane transporter activity
GO:0015526,hexose-phosphate:inorganic phosphate antiporter activity
GO:0015556,C4-dicarboxylate transmembrane transporter activity
GO:0015562,efflux transmembrane transporter activity
GO:0015575,mannitol transmembrane transporter activity
GO:0015576,sorbitol transmembrane transporter activity
GO:0015591,D-ribose transmembrane transporter activity
GO:0015603,iron chelate transmembrane transporter activity
GO:0015605,organophosphate ester transmembrane transporter activity
GO:0015616,DNA translocase activity
GO:0015631,tubulin binding
GO:0015645,fatty acid ligase activity
GO:0015662,P-type ion transporter activity
GO:0015923,mannosidase activity
GO:0015924,mannosyl-oligosaccharide mannosidase activity
GO:0015925,galactosidase activity
GO:0015926,glucosidase activity
GO:0015927,trehalase activity
GO:0015928,fucosidase activity
GO:0015929,hexosaminidase activity
GO:0015930,glutamate synthase activity
GO:0015932,nucleobase-containing compound transmembrane transporter activity
GO:0016002,sulfite reductase activity
GO:0016018,cyclosporin A binding
GO:0016034,maleylacetoacetate isomerase activity
GO:0016040,glutamate synthase (NADH) activity
GO:0016149,"translation release factor activity, codon specific"
GO:0016151,nickel cation binding
GO:0016157,sucrose synthase activity
GO:0016160,amylase activity
GO:0016161,beta-amylase activity
GO:0016166,phytoene dehydrogenase activity
GO:0016168,chlorophyll binding
GO:0016174,NAD(P)H oxidase H2O2-forming activity
GO:0016175,superoxide-generating NAD(P)H oxidase activity
GO:0016207,4-coumarate-CoA ligase activity
GO:0016208,AMP binding
GO:0016209,antioxidant activity
GO:0016211,ammonia ligase activity
GO:0016212,kynurenine-oxoglutarate transaminase activity
GO:0016215,acyl-CoA desaturase activity
GO:0016229,steroid dehydrogenase activity
GO:0016247,channel regulator activity
GO:0016248,channel inhibitor activity
GO:0016251,RNA polymerase II general transcription initiation factor activity
GO:0016273,arginine N-methyltransferase activity
GO:0016274,protein-arginine N-methyltransferase activity
GO:0016278,lysine N-methyltransferase activity
GO:0016279,protein-lysine N-methyltransferase activity
GO:0016289,CoA hydrolase activity
GO:0016295,myristoyl-[acyl-carrier-protein] hydrolase activity
GO:0016296,palmitoyl-[acyl-carrier-protein] hydrolase activity
GO:0016297,acyl-[acyl-carrier-protein] hydrolase activity
GO:0016298,lipase activity
GO:0016300,tRNA (uracil) methyltransferase activity
GO:0016301,kinase activity
GO:0016303,1-phosphatidylinositol-3-kinase activity
GO:0016307,phosphatidylinositol phosphate kinase activity
GO:0016308,1-phosphatidylinositol-4-phosphate 5-kinase activity
GO:0016314,"phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity"
GO:0016401,palmitoyl-CoA oxidase activity
GO:0016405,CoA-ligase activity
GO:0016407,acetyltransferase activity
GO:0016408,C-acyltransferase activity
GO:0016409,palmitoyltransferase activity
GO:0016410,N-acyltransferase activity
GO:0016411,acylglycerol O-acyltransferase activity
GO:0016412,serine O-acyltransferase activity
GO:0016413,O-acetyltransferase activity
GO:0016415,octanoyltransferase activity
GO:0016417,S-acyltransferase activity
GO:0016418,S-acetyltransferase activity
